name of the body ; position x ; position y ; position z
sun;-4.41629e-05;-0.000693441;-0.000693441
jupiter;4.93265;-0.562605;-0.562605
saturn;8.12174;4.50337;4.50337
uranus;13.1202;-14.927;-14.927
neptune;15.5848;-25.7936;-25.7936
sun;-4.44769e-05;-0.000726654;-0.000726654
jupiter;4.93526;-0.533876;-0.533876
saturn;8.11074;4.52116;4.52116
uranus;13.1309;-14.9181;-14.9181
neptune;15.5945;-25.7875;-25.7875
sun;-4.46271e-05;-0.000759878;-0.000759878
jupiter;4.93771;-0.50513;-0.50513
saturn;8.09971;4.53893;4.53893
uranus;13.1416;-14.9093;-14.9093
neptune;15.6043;-25.7815;-25.7815
sun;-4.46135e-05;-0.000793112;-0.000793112
jupiter;4.93999;-0.476367;-0.476367
saturn;8.08863;4.55667;4.55667
uranus;13.1523;-14.9004;-14.9004
neptune;15.614;-25.7755;-25.7755
sun;-4.44358e-05;-0.000826354;-0.000826354
jupiter;4.94212;-0.447589;-0.447589
saturn;8.07751;4.57439;4.57439
uranus;13.1629;-14.8915;-14.8915
neptune;15.6237;-25.7694;-25.7694
sun;-4.4094e-05;-0.000859604;-0.000859604
jupiter;4.94409;-0.418797;-0.418797
saturn;8.06636;4.59209;4.59209
uranus;13.1736;-14.8826;-14.8826
neptune;15.6335;-25.7634;-25.7634
sun;-4.3588e-05;-0.000892861;-0.000892861
jupiter;4.9459;-0.389991;-0.389991
saturn;8.05516;4.60977;4.60977
uranus;13.1842;-14.8737;-14.8737
neptune;15.6432;-25.7573;-25.7573
sun;-4.29177e-05;-0.000926124;-0.000926124
jupiter;4.94755;-0.361173;-0.361173
saturn;8.04393;4.62743;4.62743
uranus;13.1949;-14.8648;-14.8648
neptune;15.6529;-25.7513;-25.7513
sun;-4.20831e-05;-0.000959393;-0.000959393
jupiter;4.94905;-0.332342;-0.332342
saturn;8.03265;4.64506;4.64506
uranus;13.2055;-14.8559;-14.8559
neptune;15.6627;-25.7452;-25.7452
sun;-4.10839e-05;-0.000992665;-0.000992665
jupiter;4.95038;-0.303501;-0.303501
saturn;8.02134;4.66267;4.66267
uranus;13.2162;-14.847;-14.847
neptune;15.6724;-25.7392;-25.7392
sun;-3.99202e-05;-0.00102594;-0.00102594
jupiter;4.95155;-0.274651;-0.274651
saturn;8.00998;4.68025;4.68025
uranus;13.2268;-14.8381;-14.8381
neptune;15.6821;-25.7331;-25.7331
sun;-3.85919e-05;-0.00105922;-0.00105922
jupiter;4.95256;-0.245791;-0.245791
saturn;7.99859;4.69781;4.69781
uranus;13.2374;-14.8292;-14.8292
neptune;15.6918;-25.727;-25.727
